id,slug,name,pop2010,pop2010_18,_bookings,_jaildays,_cost,_sex_m,_sex_f,_race_h,_race_b,_race_w,_race_o2,_charge_m,_charge_f,_charge_o
143,northwest-palmdale,Northwest Palmdale,5223,3874,210,4893,715549,167,43,50,31,122,7,110,98,2
88,hawthorne,Hawthorne,86046,62351,2532,37505,5.78255e+006,2063,469,1303,876,254,99,1090,1412,29
92,hollywood-hills,Hollywood Hills,23245,20888,152,2502,380299,125,27,35,22,89,6,90,60,2
130,mid-wilshire,Mid-Wilshire,44783,37984,330,3874,619404,262,68,86,127,90,27,181,147,2
73,eastside-south-central,Eastside South Central,349795,227246,20863,434327,6.42333e+007,17063,3800,12769,7694,331,69,8917,11760,174
220,vernon,Vernon,112,91,45,485,78735.7,37,8,38,3,3,1,25,20,0
125,manhattan-beach,Manhattan Beach,35135,26410,79,642,110499,63,16,15,3,61,0,43,35,1
56,duarte,Duarte,21321,16584,984,21597,3.17676e+006,802,182,617,155,170,42,557,423,4
40,cheviot-hills,Cheviot Hills,9023,7004,14,122,20671.2,4,10,7,1,6,0,11,3,0
215,valley-glen,Valley Glen,57959,44656,287,4794,727308,225,62,155,25,76,31,142,142,3
180,santa-fe-springs,Santa Fe Springs,15549,11494,892,15460,2.33464e+006,727,165,740,19,119,14,526,349,17
163,rancho-dominguez,Rancho Dominguez,2666,2156,109,2368,348674,79,30,39,48,22,0,62,47,0
79,green-valley,Green Valley,0,0,18,594,84446.3,13,5,3,0,15,0,8,10,0
175,san-gabriel,San Gabriel,38873,32087,503,7086,1.10047e+006,382,121,326,16,41,120,293,204,6
31,carson,Carson,91800,69799,7627,125879,1.91268e+007,6176,1451,3429,2206,968,1024,3924,3575,127
67,el-segundo,El Segundo,16654,12935,60,1093,164067,50,10,18,10,31,1,29,29,2
211,unincorporated-santa-monica-mountains,Unincorporated Santa Monica Mountains,17285,13950,203,1372,247178,140,63,9,5,187,2,120,80,3
219,venice,Venice,36962,32422,534,12856,1.87432e+006,411,123,206,102,219,7,299,232,3
108,lakewood,Lakewood,80585,60783,3499,52806,8.12036e+006,2647,852,1329,474,1432,264,1905,1552,41
111,la-puente,La Puente,40174,28643,4339,86279,1.28228e+007,3620,719,3862,74,315,88,2504,1805,29
53,diamond-bar,Diamond Bar,46826,36886,1165,15339,2.40678e+006,933,232,430,96,323,316,645,512,8
81,hacienda-heights,Hacienda Heights,53568,41797,2748,43264,6.61467e+006,2126,622,2019,64,370,295,1591,1148,9
131,mission-hills,Mission Hills,19630,14818,158,3796,553536,123,35,113,13,28,4,89,66,3
95,huntington-park,Huntington Park,59737,40734,1629,25867,3.95031e+006,1388,241,1575,13,34,7,844,772,12
23,beverly-hills,Beverly Hills,34109,27486,144,3166,465616,109,35,10,32,91,11,76,67,1
119,lomita,Lomita,20795,16340,1100,15797,2.44642e+006,851,249,392,103,566,39,639,446,15
199,sunland,Sunland,17032,13771,172,3468,514636,124,48,62,9,94,7,92,77,3
12,atwater-village,Atwater Village,11982,9878,57,829,128149,46,11,38,3,7,9,38,17,2
103,la-habra-heights,La Habra Heights,5591,4510,124,1976,301625,92,32,54,5,55,10,62,60,2
90,hidden-hills,Hidden Hills,1985,1424,21,181,30742.1,15,6,3,1,17,0,13,8,0
113,la-verne,La Verne,33069,25927,329,5161,789454,241,88,128,36,146,19,209,119,1
183,sepulveda-basin,Sepulveda Basin,186,147,6,40,7232.72,6,0,3,0,3,0,3,3,0
178,san-pedro,San Pedro,78750,60400,2396,37344,5.71732e+006,1771,625,1273,373,669,81,1301,1037,57
16,baldwin-park,Baldwin Park,74506,52257,1984,42906,6.32057e+006,1548,436,1722,30,136,96,1144,818,22
118,littlerock,Littlerock,0,0,133,4072,582000,94,39,64,16,52,1,69,63,0
158,playa-vista,Playa Vista,8592,7428,29,146,28692.2,22,7,6,10,9,4,14,14,1
102,ladera-heights,Ladera Heights,8294,6880,132,2210,335185,103,29,9,109,12,2,64,65,3
99,koreatown,Koreatown,104833,83810,704,9450,1.47833e+006,563,141,439,104,70,91,385,312,7
172,rowland-heights,Rowland Heights,45871,36534,1979,28893,4.46391e+006,1576,403,1188,86,255,450,1102,866,10
167,reseda,Reseda,68921,52474,439,7108,1.08272e+006,337,102,232,51,122,34,253,183,3
186,sierra-madre,Sierra Madre,10917,8822,55,566,92687.7,42,13,19,5,25,6,30,25,0
106,lake-los-angeles,Lake Los Angeles,1947,1318,1506,39817,5.75729e+006,1137,369,548,368,584,6,600,883,23
83,hansen-dam,Hansen Dam,33,26,5,15,3600.3,4,1,2,1,2,0,5,0,0
237,west-whittier-los-nietos,West Whittier-Los Nietos,25904,18787,2526,46822,7.01399e+006,1974,552,2300,31,176,19,1454,1030,42
28,burbank,Burbank,103340,82852,349,6598,986142,257,92,103,21,180,45,195,149,5
124,malibu,Malibu,8179,6545,446,3998,673278,333,113,36,18,383,9,306,137,3
227,westchester,Westchester,39168,32327,280,4053,626954,209,71,70,139,68,3,133,146,1
26,bradbury,Bradbury,1292,1119,20,178,30022,12,8,12,0,5,3,12,8,0
133,montebello,Montebello,62381,46240,2358,34524,5.33173e+006,1839,519,2184,24,102,48,1295,1010,53
54,downey,Downey,111772,81800,2933,45959,7.03118e+006,2291,642,2182,187,499,65,1642,1246,45
11,artesia,Artesia,16522,12803,1090,18178,2.75839e+006,905,185,743,48,191,108,594,490,6
170,rolling-hills,Rolling Hills,3295,2547,24,293,46537.4,19,5,1,2,19,2,8,14,2
159,pomona,Pomona,148840,105237,2887,52140,7.83456e+006,2154,733,1946,381,448,112,1701,1143,42
20,bell,Bell,35643,24105,1095,19007,2.86974e+006,915,180,1027,16,42,10,533,549,13
192,south-gate,South Gate,94396,65022,3315,69249,1.02377e+007,2769,546,3117,55,127,16,1566,1712,37
18,bellflower,Bellflower,76616,54867,5795,92202,1.4077e+007,4492,1303,3037,1135,1448,175,3147,2556,91
34,castaic,Castaic,13194,9071,812,9734,1.5508e+006,607,205,193,37,542,40,503,306,3
149,palms,Palms,42733,36806,135,1942,300676,99,36,44,33,43,15,72,63,0
85,harbor-gateway,Harbor Gateway,40137,28861,1524,24614,3.75053e+006,1214,310,826,456,171,71,791,719,13
154,pico-rivera,Pico Rivera,64234,47131,6790,123558,1.85492e+007,5349,1441,6317,99,334,40,3918,2769,101
10,arleta,Arleta,56668,44299,126,3207,465231,102,24,112,5,4,5,71,55,0
226,west-carson,West Carson,21699,17633,1088,15981,2.4669e+006,867,221,550,114,337,87,571,503,13
8,angeles-crest,Angeles Crest,42356,32909,15,127,21656.1,15,0,0,0,14,1,9,6,0
156,pico-union,Pico-Union,44150,32598,462,9381,1.39105e+006,375,87,324,87,39,12,255,198,9
21,beverly-crest,Beverly Crest,10347,8265,45,202,41272.2,31,14,8,0,31,6,34,11,0
115,lennox,Lennox,22532,15073,1843,26476,4.10003e+006,1563,280,1599,120,95,29,820,1009,14
198,studio-city,Studio City,34695,29311,136,1432,233485,93,43,22,21,78,15,72,64,0
42,citrus,Citrus,17532,10791,747,14372,2.14379e+006,615,132,567,8,156,16,446,296,5
39,chatsworth-reservoir,Chatsworth Reservoir,8,7,3,6,1763.04,2,1,2,0,1,0,2,1,0
47,cudahy,Cudahy,23805,15480,1241,27424,4.03113e+006,1017,224,1191,20,21,9,569,661,9
58,east-compton,East Compton,11897,7648,1489,33562,4.92377e+006,1240,249,1076,385,24,4,650,826,13
185,sherman-oaks,Sherman Oaks,63661,53144,194,2326,370562,128,66,44,30,105,15,102,88,4
161,quartz-hill,Quartz Hill,9812,7183,678,21959,3.12587e+006,462,216,156,92,423,7,268,404,6
203,tarzana,Tarzana,35593,28071,169,3310,492751,131,38,43,30,83,13,86,83,0
209,tujunga,Tujunga,26812,21522,270,6322,924095,207,63,64,18,165,23,133,131,6
3,agoura-hills,Agoura Hills,17147,12643,470,3288,587038,349,121,55,15,386,14,277,190,3
196,south-whittier,South Whittier,57102,40904,4971,73147,1.12884e+007,4062,909,4017,136,767,51,2813,2083,72
89,hermosa-beach,Hermosa Beach,19506,16413,82,967,154491,65,17,8,11,58,5,38,44,0
135,monterey-park,Monterey Park,60678,49661,704,8205,1.31351e+006,529,175,518,14,37,135,357,330,17
166,redondo-beach,Redondo Beach,66748,53861,428,6412,987030,295,133,125,36,238,29,206,220,2
134,montecito-heights,Montecito Heights,20028,15502,152,2715,408496,116,36,122,15,10,5,78,65,8
17,bel-air,Bel-Air,8261,6569,15,75,14772.3,14,1,4,2,8,1,7,8,0
233,westlake-village,Westlake Village,6022,4757,131,846,154296,103,28,5,4,112,10,71,60,0
205,toluca-lake,Toluca Lake,9724,8498,35,174,34336.3,27,8,13,5,15,2,25,10,0
145,norwalk,Norwalk,106317,76928,8971,154880,2.33999e+007,7239,1732,7056,456,1265,194,4795,4056,117
191,south-el-monte,South El Monte,16637,11644,1806,40921,6.00032e+006,1491,315,1657,16,78,55,996,786,24
45,compton,Compton,101456,67912,11177,231297,3.42284e+007,9143,2034,5416,5485,183,93,4643,6413,117
223,walnut,Walnut,29156,23073,587,8490,1.31346e+006,474,113,255,54,122,156,346,236,4
98,irwindale,Irwindale,1422,1049,83,871,142105,65,18,71,1,9,2,60,23,0
76,glendale,Glendale,190790,155294,697,8099,1.29722e+006,532,165,202,36,307,152,365,317,15
87,hawaiian-gardens,Hawaiian Gardens,12968,8851,1374,22922,3.47811e+006,1175,199,1212,36,101,25,784,578,12
74,gardena,Gardena,58829,45419,1430,21227,3.27181e+006,1137,293,536,630,162,102,694,720,16
14,avocado-heights,Avocado Heights,12079,8678,1419,28017,4.16711e+006,1131,288,1284,19,89,27,796,611,12
71,encino,Encino,43648,35591,151,1557,254877,100,51,24,22,87,18,77,74,0
239,whittier,Whittier,84878,63217,3360,55902,8.48532e+006,2583,777,2543,67,696,54,2006,1300,54
104,lake-balboa,Lake Balboa,26160,20228,174,3149,473053,128,46,68,22,74,10,91,83,0
151,panorama-city,Panorama City,67889,47851,299,3889,611379,229,70,212,41,27,19,184,113,2
231,west-hollywood,West Hollywood,34407,32829,949,10848,1.74251e+006,788,161,164,121,622,42,526,414,9
60,east-la-mirada,East La Mirada,9757,7401,498,6586,1.03267e+006,415,83,257,20,216,5,312,182,4
221,veterans-administration,Veterans Administration,746,667,44,802,120377,42,2,8,15,20,1,26,17,1
177,san-pasqual,San Pasqual,2041,1676,17,95,18065.7,12,5,6,2,8,1,10,7,0
51,del-rey,Del Rey,29466,23824,174,1787,292751,136,38,100,27,41,6,92,81,1
107,lake-view-terrace,Lake View Terrace,13054,9639,137,3048,447734,107,30,69,26,39,3,69,65,3
176,san-marino,San Marino,13147,9725,23,41,12854.7,21,2,2,0,16,5,15,8,0
