_race_b,_sex_f,_charge_m,_charge_f,_jaildays,_race_o2,_race_w,_race_h,_charge_o,_sex_m,_bookings,pop2010_18over,pop2010,name,region,_cost
8,31,75,79,3971,5,116,26,1,124,155,901279,1178069,Angeles Forest,angeles-forest,526003.9
12090,8671,14720,19623,1171581,461,9672,12549,429,26101,34772,350003,493363,Antelope Valley,antelope-valley,155094215.7
5677,5591,12772,11719,497302,1876,5088,12232,382,19282,24873,1666602,2288295,Harbor,harbor,65833161.68
1485,8498,22218,17905,883867,3094,5889,30074,419,32044,40542,1602990,2145132,San Gabriel Valley,san-gabriel-valley,117006636.4
153,2405,6672,6482,278336,87,223,12966,275,11024,13429,441461,590940,Eastside,eastside,36846442.6
61,233,485,416,18207,56,108,697,21,689,922,495710,626401,Northeast L.A.,northeast-la,2410565.58
1887,1366,3659,3414,153158,366,2030,2886,96,5803,7169,1726937,2246579,Central L.A.,central-la,20275378.96
346,693,1629,1117,53830,123,543,1773,39,2092,2785,298728,394587,Pomona Valley,pomona-valley,7126338.32
532,2208,5080,4007,165684,406,5096,3100,47,6926,9134,485414,667758,Northwest County,northwest-county,21933570.84
64,408,945,592,13705,61,1309,116,13,1142,1550,131088,167743,Santa Monica Mountains,santa-monica-mountains,1814590.82
16828,6784,14207,19264,829321,138,535,16330,360,27047,33831,1204065,1684089,South L.A.,south-la,109785836.9
794,1655,3820,3113,129342,436,2284,3474,55,5333,6988,1496106,1930166,San Fernando Valley,san-fernando-valley,17122616.88
3362,2543,5721,7061,230200,569,2789,6196,134,10373,12916,1159857,1526863,South Bay,south-bay,30474198.92
9094,11876,31064,31337,1324231,1135,6065,46912,805,51330,63206,1957616,2720985,Southeast,southeast,175302022.7
474,519,1206,975,39560,114,1011,605,23,1685,2204,1242575,1555129,Westside,westside,5237275.72
1463,987,2460,2048,94769,288,1270,1558,71,3592,4579,617042,778113,Verdugos,verdugos,12545843.14
