_sex_f,_charge_o,_charge_m,_charge_f,_jaildays,_race_o2,_race_w,_race_h,_race_b,_sex_m,_bookings,pop2010_18over,pop2010,name,slug,_cost
0,0,8,5,125,1,12,0,0,13,13,32909,42356,Angeles Crest,angeles-crest,16870.42
143,1,362,265,10025,49,372,152,55,485,628,31641,42023,Castaic Canyons,castaic-canyons,1327432.42
23,1,52,58,3008,2,89,16,4,88,111,2257,2857,Tujunga Canyons,tujunga-canyons,434043.16
38,1,56,61,3697,1,49,53,15,80,118,0,0,Littlerock,littlerock,527513.42
68,2,221,148,5082,5,161,192,13,303,371,7401,9757,East La Mirada,east-la-mirada,673078.08
5,0,7,6,42,1,3,9,0,8,13,1119,1292,Bradbury,bradbury,5882.88
41,5,119,120,5801,2,12,111,119,203,244,16768,23349,West Adams,west-adams,768259.3
151,10,429,485,18146,10,33,869,12,773,924,24105,35643,Bell,bell,2402490.4
82,2,194,114,3616,31,206,39,34,228,310,50389,62339,Woodland Hills,woodland-hills,479009
169,9,632,499,23779,18,83,1011,28,971,1140,8851,12968,Hawaiian Gardens,hawaiian-gardens,3148186.94
35,0,73,66,2729,7,53,60,19,104,139,20228,26160,Lake Balboa,lake-balboa,361587.94
10,1,28,22,1020,6,22,14,9,41,51,14415,17446,Pico-Robertson,pico-robertson,135350.52
18,2,35,49,1820,4,22,45,15,68,86,7789,9809,Hancock Park,hancock-park,241254.52
56,4,176,115,2663,12,83,164,36,239,295,43538,58943,Canoga Park,canoga-park,352850.86
28,0,78,57,2342,15,50,61,9,107,135,3855,4841,East Pasadena,east-pasadena,310356.88
8,1,19,21,786,2,38,1,0,33,41,487,749,Elizabeth Lake,elizabeth-lake,104373.6
6,1,9,10,810,4,9,7,0,14,20,6510,7822,Larchmont,larchmont,107550.72
142,6,383,366,15261,9,34,707,5,613,755,9327,13158,Commerce,commerce,2264055.78
30,2,58,59,2530,16,57,36,10,89,119,29025,32639,Los Feliz,los-feliz,335244.32
3,0,10,6,427,3,3,9,1,13,16,1510,1894,Elysian Park,elysian-park,56849.18
21,1,38,35,2170,13,15,42,4,53,74,2498,3151,North El Monte,north-el-monte,287587.52
15,1,39,34,1357,0,57,14,3,59,74,26410,35135,Manhattan Beach,manhattan-beach,179962.58
10,2,28,16,732,6,6,31,3,36,46,9878,11982,Atwater Village,atwater-village,97225.08
38,3,65,56,1700,8,35,58,23,86,124,25107,29228,Silver Lake,silver-lake,225368.92
181,12,485,437,15550,66,290,478,100,753,934,17633,21699,West Carson,west-carson,2058831.92
365,16,913,716,45031,81,119,1422,23,1280,1645,52257,74506,Baldwin Park,baldwin-park,5961526.7
6,1,12,12,126,2,8,6,9,19,25,7428,8592,Playa Vista,playa-vista,17002.8
12,0,25,23,212,5,20,18,5,36,48,8822,10917,Sierra Madre,sierra-madre,28387.48
334,20,491,796,45744,5,512,456,334,973,1307,1318,1947,Lake Los Angeles,lake-los-angeles,6055913.64
1,0,4,0,9,0,1,2,1,3,4,26,33,Hansen Dam,hansen-dam,1514.34
1075,79,2507,2191,89468,146,1262,2447,922,3702,4777,54867,76616,Bellflower,bellflower,11844096.76
31,0,55,52,1479,10,34,34,29,76,107,36806,42733,Palms,palms,196112.94
1,0,2,0,2,0,1,1,0,1,2,7,8,Chatsworth Reservoir,chatsworth-reservoir,587.68
0,0,2,1,227,0,0,2,1,3,3,3337,4152,Rancho Park,rancho-park,30373.18
85,4,213,193,8020,22,74,281,33,325,410,57673,78863,Sun Valley,sun-valley,1062010.52
43,2,119,127,5786,2,61,167,18,205,248,0,0,Val Verde,val-verde,766273.6
250,10,652,543,24909,25,75,1090,15,955,1205,8678,12079,Avocado Heights,avocado-heights,3297776.34
49,2,126,160,4811,14,44,124,106,239,288,67382,83089,Alondra Park,alondra-park,637203.1
63,7,151,160,12721,45,29,237,7,255,318,8967,11163,South San Gabriel,south-san-gabriel,1684328.9
1,0,6,2,18,0,6,1,1,7,8,421,521,Unincorporated Catalina Island,unincorporated-catalina-island,4966.2
