id,senator,district,_bookings,_jaildays,_cost,_sex_m,_sex_f,_race_h,_race_b,_race_w,_race_o2,_charge_m,_charge_f,_charge_o
1,Ben Hueso,40,,,,,,,,,,,,
3,Jerry Hill,13,,,,,,,,,,,,
4,Mike McGuire,2,,,,,,,,,,,,
5,Tom Berryhill,8,,,,,,,,,,,,
7,Jeff Stone,28,,,,,,,,,,,,
8,Jim Nielsen,4,,,,,,,,,,,,
10,Bill Monning,17,,,,,,,,,,,,
15,Ted Gaines,1,,,,,,,,,,,,
18,Cathleen Galgiani,5,,,,,,,,,,,,
20,John M. W. Moorlach,37,,,,,,,,,,,,
22,Hannah-Beth Jackson,19,,,,,,,,,,,,
23,Scott D. Wiener,11,,,,,,,,,,,,
24,Andy Vidak,14,,,,,,,,,,,,
25,Jean Fuller,16,,,,,,,,,,,,
26,Nancy Skinner,9,,,,,,,,,,,,
27,Patricia C. Bates,36,,,,,,,,,,,,
28,Anthony Cannella,12,,,,,,,,,,,,
29,Joel Anderson,38,,,,,,,,,,,,
30,Toni G. Atkins,39,,,,,,,,,,,,
31,Bill Dodd,3,,,,,,,,,,,,
35,Jim Beall,15,,,,,,,,,,,,
37,Richard Pan,6,,,,,,,,,,,,
38,Steven M. Glazer,7,,,,,,,,,,,,
39,Bob Wieckowski,10,,,,,,,,,,,,
40,Richard D. Roth,31,,,,,,,,,,,,
6,Benjamin Allen,26,8166,117103,1.81391e+007,6413,1753,2195,1266,4248,457,4622,3474,70
2,Josh Newman,29,4573,64971,1.00776e+007,3631,942,2439,284,815,1035,2583,1957,31
12,Scott Wilk,21,51865,1267574,1.8455e+008,39150,12715,18689,15407,16796,973,24378,26954,516
16,Mike Morrell,23,1,1,455.3,1,0,0,0,1,0,1,0,0
14,Anthony J. Portantino,25,10246,171077,2.59558e+007,7987,2259,4060,2217,3351,618,5918,4192,136
33,Ed Hernandez,22,34109,653510,9.75261e+007,27128,6981,27365,964,3702,2078,19369,14404,334
34,Henry I. Stern,27,6736,79893,1.27514e+007,5108,1628,1927,503,3915,391,4018,2684,33
32,Holly J. Mitchell,30,27132,513274,7.67087e+007,21229,5903,10703,15051,1150,228,12413,14407,307
11,Connie M. Leyva,20,2887,52145,7.83523e+006,2154,733,1948,381,447,111,1703,1141,42
13,Ricardo Lara,33,36998,685319,1.0267e+008,30235,6763,27543,5824,2895,736,17856,18738,387
21,Steven Bradford,35,51119,925602,1.39039e+008,41248,9871,26191,18222,4643,2063,23584,26925,597
9,Janet Nguyen,34,348,4160,663077,253,95,67,26,233,22,192,154,1
17,Tony Mendoza,32,51316,835890,1.27226e+008,40676,10640,38305,2905,8422,1684,28731,21877,698
36,Robert M. Hertzberg,18,5478,92224,1.39776e+007,4179,1299,3279,641,1281,277,3072,2363,41
19,Kevin de LeÃ³n,24,21114,365174,5.51599e+007,17201,3913,18606,1085,986,437,10934,9775,396
